market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl
"houston, tx",mcdonald's,"  american, burgers","2017 main st parking, 2017 main st, houston, tx 77002, usa",2017 main street,houston,tx,77002,US/Central,29.748692,-95.370802,3.850296021,5237,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/efe58558-a9dc-466d-922b-ecce4b3213b1.png"
"houston, tx",piada italian street food,"  italian, wraps","5801 memorial dr, houston, tx 77007, usa",5801 memorial drive,houston,tx,77007,US/Central,29.7609367,-95.4204242,4.669931889,19602,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/c89b151e-d33b-4c8e-92f8-7260b0e0c745.png"
"houston, tx",chick-fil-a,"  chicken, american","2222 shearn st, houston, tx 77007, usa",2222 shearn street,houston,tx,77007,US/Central,29.7748244,-95.3810132,4.71721077,20220,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Chick-fil-AÂ_logo.png"
"houston, tx",wingstop,"  american, chicken wings","174 yale st #600, 174 yale street #600, houston, tx 77007, usa",174 yale street,houston,tx,77007,US/Central,29.7736191,-95.3981886,4.503647804,12197,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/5a941954-47e7-4b4e-b3a2-54176c914488.png"
"houston, tx",panda express,"  chicken, fast food","1913 taylor st, houston, tx 77007, usa",1913 taylor street,houston,tx,77007,US/Central,29.7748868,-95.3818701,4.53161478,4191,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/panda_express_logo.png"
"houston, tx",chipotle,"  mexican, tacos","909 texas st b, houston, tx 77002, usa",909 texas street,houston,tx,77002,US/Central,29.7600926,-95.36255346,4.494685173,5644,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ChipotelLogo1.jpg"
"houston, tx",poke in the bowl,"  hawaiian, takeout","515 westheimer rd, houston, tx 77006, usa",515 westheimer road,houston,tx,77006,US/Central,29.744143,-95.3881679,4.824798107,4218,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/6981ed91-f9c1-43d8-9a38-12479ee9e2b6.png"
"houston, tx",freebirds world burrito,"  dessert, beverages","1923 taylor st, houston, tx 77007, usa",1923 taylor street,houston,tx,77007,US/Central,29.7755495,-95.3826244,4.657674789,9120,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9aa6f224-d531-4ac8-8869-289bf4d369d9.jpg"
"houston, tx",jack in the box,"  chicken, burgers","3110 w dallas st, houston, tx 77019, usa",3110 west dallas street,houston,tx,77019,US/Central,29.7577552,-95.3985315,4.253946781,1520,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Jack_Cover_Square.jpg"
"houston, tx",burger king,"  american, burgers","burger king, 2316 scott st, houston, tx 77004, usa",2316 scott street,houston,tx,77004,US/Central,29.734045,-95.3485183,4.147174835,761,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d43b7d43-f85b-4645-a31b-89abf0d9a407.png"
"houston, tx",american deli,"  deli, takeout","6120 scott st, houston, tx 77021, usa",6120 scott street,houston,tx,77021,US/Central,29.7000121,-95.3600172,4.416869164,6580,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/a0ffc9a7-acc3-49d5-9206-45ba90b5f7a8.png"
"houston, tx",gyro hut,"  mediterranean, takeout","gyro hut, 2807 old spanish trail, houston, tx 77054, usa",2807 old spanish trail,houston,tx,77054,US/Central,29.6995041,-95.3857595,4.725811005,9953,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9f901661-e992-4e26-b7a3-bced53a7b473.png"
"houston, tx",little caesars pizza,"  pizza, deep dish pizza","6213 lyons ave #100, houston, tx 77020, usa",6213 lyons avenue,houston,tx,77020,US/Central,29.7768608,-95.3077592,4.500504017,993,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d31d7a89-dc79-4c72-bc22-533686acaa7a.png"
"houston, tx",the rice box,"  asian, asian food","the rice box, 1111 s shepherd dr, houston, tx 77019, usa",1111 south shepherd drive,houston,tx,77019,US/Central,29.7556801,-95.4085339,4.644855976,41479,Mid,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9382479a-1ced-4b51-ad5e-854078f7a3e1.png"
"houston, tx",subway,"  sandwiches, salads","2003 pease st, houston, tx 77003, usa",2003 pease street,houston,tx,77003,US/Central,29.7466861,-95.359915,4.602310181,606,Low,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Subway-app.jpg"
